"Type","Path","Name","SizeMB","Guid","IsAtSource","ExternalRefs"
"Anim","Assets/_Project/Animations/Units/LittleKnight/LittleKnight_Walk1.anim","LittleKnight_Walk1.anim","0.565","e20efbff2bd53654ebaf09704fb6800e","False","1"
"Anim","Assets/_Project/Animations/Units/BearGuard/Attack2.anim","Attack2.anim","0.304","17c3197571aebd542bd69cdd5ac2af88","False","1"
"Anim","Assets/_Project/Animations/Units/QuakeSpirit/QuakeSpirit_Walk.anim","QuakeSpirit_Walk.anim","3.165","c264a84d8879b874fa049434b872c9c1","False","2"
"Anim","Assets/_Project/Animations/Units/FoxMagician/FoxMagician_Attack.anim","FoxMagician_Attack.anim","2.992","2a61dae4330eb7c418f33f773a87978f","False","2"
"Anim","Assets/_Project/Animations/Units/TorrentSpirit/TorrentSpirit_Walk.anim","TorrentSpirit_Walk.anim","2.978","0eb82e5c6aa6d424d8b2dac455426aaa","False","2"
"Anim","Assets/_Project/Animations/Units/LittleKnight/LittleKnight_Attack.anim","LittleKnight_Attack.anim","2.804","d6b7b1014667fcc4e9da29c9e929b9b0","False","2"
"Anim","Assets/_Project/Animations/Units/Pistoleer/Pistoleer_Walk.anim","Pistoleer_Walk.anim","2.776","f37580bf2f186c74183c6e7b5c197dec","False","2"
"Anim","Assets/_Project/Animations/Units/BattleAxe/BattleAxe_Attack.anim","BattleAxe_Attack.anim","2.699","c97327687cff891418b039f23b5b214b","False","2"
"Anim","Assets/_Project/Animations/Units/TorrentSpirit/TorrentSpirit_Attack.anim","TorrentSpirit_Attack.anim","2.619","0396c9df8348dd04a99ba18bfb31485a","False","2"
"Anim","Assets/_Project/Animations/Units/EmberSpirit/EmberSpirit_Walk.anim","EmberSpirit_Walk.anim","2.553","a22e8ef305337d947b0b921238285d22","False","2"
"Anim","Assets/_Project/Animations/Units/RabbitTrickster/RabbitTrickster_Walk.anim","RabbitTrickster_Walk.anim","2.517","6d5ea9cb1aabdc446a8a439aa59740c6","False","2"
"Anim","Assets/_Project/Animations/Units/Assault/Assault_Dead.anim","Assault_Dead.anim","2.466","5f7ed2851acf09e42a5142d0a8d0f84a","False","2"
"Anim","Assets/_Project/Animations/Units/InfernoSpirit/InfernoSpirit_Attack.anim","InfernoSpirit_Attack.anim","2.452","aa08d04a7746a8c47a25e9ad6f9b7993","False","2"
"Anim","Assets/_Project/Animations/Units/FlameSpirit/FlameSpirit_Attack.anim","FlameSpirit_Attack.anim","2.376","63b9b44d031f68f468d186399d915ee7","False","2"
"Anim","Assets/_Project/Animations/Units/InfernoSpirit/InfernoSpirit_Walk.anim","InfernoSpirit_Walk.anim","2.278","a772a0517b5b2114da22bcf957ddbc49","False","2"
"Anim","Assets/_Project/Animations/Units/TideSpirit/TideSpirit_Attack.anim","TideSpirit_Attack.anim","2.02","436a2847db5341848804090de50cc4ea","False","2"
"Anim","Assets/_Project/Animations/Units/Pistoleer/Pistoleer_Dead.anim","Pistoleer_Dead.anim","1.971","cd95dd0ac2adb4e408cf4baadc646173","False","2"
"Anim","Assets/_Project/Animations/Units/DustSpirit/DustSpirit_Attack.anim","DustSpirit_Attack.anim","1.899","961cafd21c1fa13429c74aa65a3a6345","False","2"
"Anim","Assets/_Project/Animations/Units/EmberSpirit/EmberSpirit_Attack.anim","EmberSpirit_Attack.anim","1.877","335daaffd649791409558085159725aa","False","2"
"Anim","Assets/_Project/Animations/Units/MushroomBomber/MushroomBomber_Attack.anim","MushroomBomber_Attack.anim","1.874","8b7e1085021a1bf41a62c06f6586df0a","False","2"
"Anim","Assets/_Project/Animations/Units/SpearMan/SpearMan_Attack.anim","SpearMan_Attack.anim","1.595","4772066a52e78bc4cb4890c02068d0ea","False","2"
"Anim","Assets/_Project/Animations/Units/BloomFairy/BloomFairy_Attack.anim","BloomFairy_Attack.anim","1.592","b934af543a2aa8f4dbc72962f233fa9f","False","2"
"Anim","Assets/_Project/Animations/Units/LionKnight/LionKnight_Attack.anim","LionKnight_Attack.anim","1.57","45c00f46f91a76047a76e774cfa0f6ac","False","2"
"Anim","Assets/_Project/Animations/Units/Sniper/Sniper_Attack.anim","Sniper_Attack.anim","1.541","783d389748c4c7743a831612d7b1b5f5","False","2"
"Anim","Assets/_Project/Animations/Units/Sniper/Sniper_Dead.anim","Sniper_Dead.anim","1.534","c5588f79d70eb8a4693f1503dbdbdbb8","False","2"
"Anim","Assets/_Project/Animations/Units/RhinoBreaker/RhinoBreaker_Attack.anim","RhinoBreaker_Attack.anim","1.459","9214cd0584e17414ab4439b9602e6e44","False","2"
"Anim","Assets/_Project/Animations/Units/Pistoleer/meshy4/Pistoleer_CasualWalk.anim","Pistoleer_CasualWalk.anim","1.409","c24afec860ac11e48a991ab0393a5414","False","2"
"Anim","Assets/_Project/Animations/Units/Pistoleer/Pistoleer_Attack.anim","Pistoleer_Attack.anim","1.391","3dc19d88c3a013c46af811597796c70a","False","2"
"Anim","Assets/_Project/Animations/Units/RhinoBreaker/RhinoBreaker_Attack2.anim","RhinoBreaker_Attack2.anim","1.3","338dfef0d1ddc6a4ba50a93f9aff0339","False","2"
"Anim","Assets/_Project/Animations/Units/DustSpirit/DustSpirit_Attack2.anim","DustSpirit_Attack2.anim","1.235","621d10329be07614ea53d32c996ded63","False","2"
"Anim","Assets/_Project/Animations/Units/TideSpirit/TideSpirit_Walk.anim","TideSpirit_Walk.anim","1.163","4708e0c4da3e5ae4eb15d70146ff3fda","False","2"
"Anim","Assets/_Project/Animations/Units/RabbitTrickster/RabbitTrickster_Attack3.anim","RabbitTrickster_Attack3.anim","1.09","1b667bee5c36e85459f1dd2b5fbd9ef9","False","2"
"Anim","Assets/_Project/Animations/Units/BearGuard/BearGuard_Attack.anim","BearGuard_Attack.anim","1.055","6cd4a1668d01f24448599b56306f2b13","False","2"
"Anim","Assets/_Project/Animations/Units/Sniper/Sniper_Walk.anim","Sniper_Walk.anim","1.007","bc009beaced964541a4e4d3711ec13c1","False","2"
"Anim","Assets/_Project/Animations/Units/LittleKnight/LittleKnight_Walk.anim","LittleKnight_Walk.anim","1.002","e340f7188e3d4fc4ab8ed1fc6d605129","False","2"
"Anim","Assets/_Project/Animations/Units/BearGuard/BearGuard_Walk.anim","BearGuard_Walk.anim","0.997","59c0580bdaa64fc46a5e8b9845198c8a","False","2"
"Anim","Assets/_Project/Animations/Units/Pistoleer/meshy4/Pistoleer_Dead.anim","Pistoleer_Dead.anim","0.989","ebd4dbfdfa95945439894513898fce49","False","2"
"Anim","Assets/_Project/Animations/Units/FoxMagician/FoxMagician_Walk.anim","FoxMagician_Walk.anim","0.987","070f9cacd300abb4881896490ba4a08e","False","2"
"Anim","Assets/_Project/Animations/Units/Pistoleer/meshy4/Pistoleer_Idle.anim","Pistoleer_Idle.anim","0.934","a233fbdeccccd394c9a458db08139cf5","False","2"
"Anim","Assets/_Project/Animations/Units/Pistoleer/Pistoleer_Run.anim","Pistoleer_Run.anim","0.854","a04864e6e68a7a346a3d5019d4360698","False","2"
"Anim","Assets/_Project/Animations/Units/EagleArcher/EagleArcher_Walk.anim","EagleArcher_Walk.anim","0.844","e3c040dc6d1636d45ad163e792bab847","False","2"
"Anim","Assets/_Project/Animations/Units/Pistoleer/Pistoleer_Idle.anim","Pistoleer_Idle.anim","0.8","b7df631adb6c8fe4c87b1915547a4a15","False","2"
"Anim","Assets/_Project/Animations/Units/Assault/Assault_Walk.anim","Assault_Walk.anim","0.794","e19c3e4786b89ba46bc28166bd9b495a","False","2"
"Anim","Assets/_Project/Animations/Units/MushroomBomber/MushroomBomber_Walk.anim","MushroomBomber_Walk.anim","0.776","c3c6f3ad78acc2941a2900095da572ec","False","2"
"Anim","Assets/_Project/Animations/Units/RhinoBreaker/RhinoBreaker_Walk.anim","RhinoBreaker_Walk.anim","0.766","3b2812bcfd4eacd45939b01429a45bc1","False","2"
"Anim","Assets/_Project/Animations/Units/FlameSpirit/FlameSpirit_Walk.anim","FlameSpirit_Walk.anim","0.763","39949e2cfb8f82445a061e1ae6bf70e0","False","2"
"Anim","Assets/_Project/Animations/Units/StreamSpirit/StreamSpirit_Attack.anim","StreamSpirit_Attack.anim","0.746","98d5134cc0c7a3249aeb355be217dcec","False","2"
"Anim","Assets/_Project/Animations/Units/SpearMan/SpearMan_Walk.anim","SpearMan_Walk.anim","0.724","04ebc25f824c2254293c2157792a4f31","False","2"
"Anim","Assets/_Project/Animations/Units/EagleArcher/EagleArcher_Attack2.anim","EagleArcher_Attack2.anim","0.704","689bae402518d2c4c885a5b20038740d","False","2"
"Anim","Assets/_Project/Animations/Units/StreamSpirit/StreamSpirit_Walk.anim","StreamSpirit_Walk.anim","0.599","72136e19836e37340b961a3b6c23e795","False","2"
"Anim","Assets/_Project/Animations/Units/BloomFairy/BloomFairy_Walk.anim","BloomFairy_Walk.anim","0.571","9429b68833a49df4ca3e932038ee35fb","False","2"
"Anim","Assets/_Project/Animations/Units/EagleArcher/EagleArcher_Attack.anim","EagleArcher_Attack.anim","0.524","573c970a52265b64b9d5d5a953ffbfb8","False","2"
"Anim","Assets/_Project/Animations/Units/DustSpirit/DustSpirit_Walk.anim","DustSpirit_Walk.anim","0.504","88a1cad98cf785e4680e12ce4f6f60f2","False","2"
"Anim","Assets/_Project/Animations/Units/Pistoleer/meshy4/Pistoleer_Walk.anim","Pistoleer_Walk.anim","0.497","3e976275b2da8844c87209a3ff11644c","False","2"
"Anim","Assets/_Project/Animations/Units/BoulderSpirit/BoulderSpirit_Walk.anim","BoulderSpirit_Walk.anim","0.479","5d1ed4b4ecee38a47bc97132148e27c3","False","2"
"Anim","Assets/_Project/Animations/Units/FoxMagician/FoxMagician_Idle.anim","FoxMagician_Idle.anim","0.414","8b91cc2fdc085a246a6c9a4e443ae170","False","2"
"Anim","Assets/_Project/Animations/Units/Pistoleer/meshy4/Pistoleer_Run.anim","Pistoleer_Run.anim","0.413","fec236c4b1a792f40aeb971a9168751a","False","2"
"Anim","Assets/_Project/Animations/Units/BattleAxe/BattleAxe_Walk.anim","BattleAxe_Walk.anim","0.4","8b3abb92dc3ee014b91c01d758ad9d8c","False","2"
"Anim","Assets/_Project/Animations/Units/Assault/Assault_Attack.anim","Assault_Attack.anim","0.394","5db36c06bba0cd24d97d1ad80bc7190a","False","2"
"Anim","Assets/_Project/Animations/Units/LionKnight/LionKnight_Walk.anim","LionKnight_Walk.anim","0.377","7b028eb988aeaa141a40e54e178cb7fe","False","2"
"Anim","Assets/_Project/Animations/Units/EmberSpirit/EmberSpirit_Idle.anim","EmberSpirit_Idle.anim","0.37","b1689a4b64a13794baf272020f808d41","False","2"
"Anim","Assets/_Project/Animations/Units/Sniper/Sniper_Idle.anim","Sniper_Idle.anim","0.211","6867ad86fcec7dd4e84b4cdd0d60c34d","False","2"
"Anim","Assets/_Project/Animations/Units/Assault/Assault_Idle.anim","Assault_Idle.anim","0.211","58b2f12a5c7c3b94e86e36ddfb7e3158","False","2"
"Anim","Assets/_Project/Animations/Units/Tank/Tank_Attack.anim","Tank_Attack.anim","0.003","45dfc56b28d646b4da9722fd7be76418","False","2"
"Anim","Assets/_Project/Animations/Units/CannonCart/CannonCart_Attack.anim","CannonCart_Attack.anim","0.003","97e6beac61ecd944595517c567aabe50","False","2"
"Anim","Assets/_Project/Animations/Units/QuakeSpirit/QuakeSpirit_Attack.anim","QuakeSpirit_Attack.anim","3.151","75f0862e387cda542979bed8db30ba62","False","3"
"Anim","Assets/_Project/Animations/Units/BoulderSpirit/BoulderSpirit_Attack.anim","BoulderSpirit_Attack.anim","2.07","a08b07c6564fb5741ace267fd675b087","False","3"
"Anim","Assets/_Project/Animations/Units/RabbitTrickster/RabbitTrickster_Attack.anim","RabbitTrickster_Attack.anim","1.67","8d21000f295b9774a9cb2540a71b8ce7","False","3"
"FBX","Assets/_Project/Models/Buildings/Transcendence/HunterPlant.fbx","HunterPlant.fbx","11.82","4854cded1f3810541b9da72a581f466f","False","0"
"FBX","Assets/_Project/Models/Buildings/Spirit/SummoningAltar.fbx","SummoningAltar.fbx","10.92","c1254e97372e38c4d86aa2dd3eedd044","False","0"
"FBX","Assets/_Project/Models/Units/Spirit/TorrentSpirit/TorrentSpirit@Breathing Idle.fbx","TorrentSpirit@Breathing Idle.fbx","0.35","79d6b93e55e1e444aa1b101108698eb5","True","0"
"FBX","Assets/_Project/Models/Units/Spirit/QuakeSpirit/QuakeSpirit@Jump Attack.fbx","QuakeSpirit@Jump Attack.fbx","0.25","a67a3f539fd3d1d4b8a91cf2e9debbfc","True","0"
"FBX","Assets/_Project/Models/Units/Spirit/QuakeSpirit/QuakeSpirit@Mutant Jump Attack.fbx","QuakeSpirit@Mutant Jump Attack.fbx","0.24","ef22cede8151b0d4face81158261d911","True","0"
"FBX","Assets/_Project/Models/Units/Transcendence/EagleArcher/EagleArcher@Standing Aim Overdraw.fbx","EagleArcher@Standing Aim Overdraw.fbx","0.24","fb5e95a91dd6a7847bf25ae49c52230e","True","0"
"FBX","Assets/_Project/Models/Units/Spirit/TorrentSpirit/TorrentSpirit@Standing 2H Magic Attack 05.fbx","TorrentSpirit@Standing 2H Magic Attack 05.fbx","0.23","ea4c4186579e9be40b4f655073664b4b","True","0"
"FBX","Assets/_Project/Models/Units/Spirit/BoulderSpirit/BoulderSpirit@Zombie Attack.fbx","BoulderSpirit@Zombie Attack.fbx","0.23","c5516b52e6e6f4c4e80f006bed652d0e","True","0"
"FBX","Assets/_Project/Models/Units/Transcendence/FoxMagician/FoxMagician@Standing 2H Magic Attack 03.fbx","FoxMagician@Standing 2H Magic Attack 03.fbx","0.22","484197acbc3788b48837c02633516925","True","0"
"FBX","Assets/_Project/Models/Units/Spirit/StreamSpirit/StreamSpirit@Standing 2H Magic Attack 01.fbx","StreamSpirit@Standing 2H Magic Attack 01.fbx","0.2","28f0f6be6d509aa40b79578c9b719363","True","0"
"FBX","Assets/_Project/Models/Units/Human/Sniper/Sniper@Gunplay.fbx","Sniper@Gunplay.fbx","0.19","3de01a3653af9de48a0039294ff6b0bf","True","0"
"FBX","Assets/_Project/Models/Units/Transcendence/BloomFairy/BloomFairy@Standing 1H Cast Spell 01.fbx","BloomFairy@Standing 1H Cast Spell 01.fbx","0.18","ada60046189fa9d4692b4959f658efaf","True","0"
"FBX","Assets/_Project/Models/Units/Spirit/QuakeSpirit/QuakeSpirit@Drunk Walk Backwards.fbx","QuakeSpirit@Drunk Walk Backwards.fbx","0.16","2eb13271c7ea28f4daf6a4f79b7ffdde","True","0"
"FBX","Assets/_Project/Models/Units/Transcendence/LionKnight/LionKnight@Sword And Shield Slash.fbx","LionKnight@Sword And Shield Slash.fbx","0.16","c609a45e1277ccd42a9fe373ce343474","True","0"
"FBX","Assets/_Project/Models/Units/Transcendence/LionKnight/LionKnight@Great Sword Slash.fbx","LionKnight@Great Sword Slash.fbx","0.15","16401670b462a9b4da30dc5be55147b4","True","0"
"FBX","Assets/_Project/Models/Units/Human/Assault/Assault@Firing Rifle.fbx","Assault@Firing Rifle.fbx","0.14","fdb283e53e26a06469b20f6827ed9053","True","0"
"FBX","Assets/_Project/Models/Units/Human/Assault/Assault@Walk With Rifle.fbx","Assault@Walk With Rifle.fbx","0.14","8fc7af3df86a3ca41bd6c92bae46cae6","True","0"
"FBX","Assets/_Project/Models/Units/Transcendence/EagleArcher/EagleArcher@Standing Aim Recoil.fbx","EagleArcher@Standing Aim Recoil.fbx","0.13","478d279084b21bf4dbe5d52daa9176c7","True","0"
"FBX","Assets/_Project/Models/Buildings/Spirit/SpiritNexus.fbx","SpiritNexus.fbx","11","b30319dfc6798694dbc30c446867de64","False","1"
"FBX","Assets/_Project/Models/Buildings/Spirit/SpiritNexusRed.fbx","SpiritNexusRed.fbx","10.96","b269820d59a5982448baa12105b419cc","False","1"
"FBX","Assets/_Project/Models/Units/Spirit/QuakeSpirit/QuakeSpirit/QuakeSpirit/QuakeSpirit.fbx","QuakeSpirit.fbx","7.83","8452fe3065190e141a4486fcdddc184c","False","1"
"FBX","Assets/_Project/Models/Buildings/GoldMineTile.fbx","GoldMineTile.fbx","3.42","a998a32d44f60194f8d92f282b7b9230","False","1"
"FBX","Assets/_Project/Models/Buildings/Transcendence/WillowShrine.fbx","WillowShrine.fbx","12.89","3bd9b8bbfaba70747b9c27e67c30bbd1","False","2"
"FBX","Assets/_Project/Models/Buildings/Transcendence/VineTower.fbx","VineTower.fbx","12.58","3828a906cbe855f4ba70af7ce55d32fd","False","2"
"FBX","Assets/_Project/Models/Buildings/Transcendence/ElderTree.fbx","ElderTree.fbx","12.36","4dbfe60dd580a3a458d952f24a98949a","False","2"
"FBX","Assets/_Project/Models/Buildings/Transcendence/FungalNode.fbx","FungalNode.fbx","12.33","6e8c7009c179dcc4f80df37133993f9b","False","2"
"FBX","Assets/_Project/Models/Buildings/Spirit/InfernoCore.fbx","InfernoCore.fbx","12.08","89abf331b343d2249a8508ba9e62e583","False","2"
"FBX","Assets/_Project/Models/Buildings/Transcendence/PrimalSanctuary.fbx","PrimalSanctuary.fbx","11.83","4a6bbea5048a47c41a44f475340a9ca4","False","2"
"FBX","Assets/_Project/Models/Buildings/Human/HumanBarracks.fbx","HumanBarracks.fbx","11.77","7106b59373194a7478b8c57f9fe26eff","False","2"
"FBX","Assets/_Project/Models/Buildings/Spirit/BlazeConduit.fbx","BlazeConduit.fbx","11.73","ebf4bec96bae52948b842c6c099cd0b4","False","2"
"FBX","Assets/_Project/Models/Buildings/Transcendence/PrimalDen.fbx","PrimalDen.fbx","11.59","bc64e9aa91458604b8dff7485aa1a0f7","False","2"
"FBX","Assets/_Project/Models/Buildings/Transcendence/MistShrine.fbx","MistShrine.fbx","11.57","2d22cce637d41424baa977079c64d83f","False","2"
"FBX","Assets/_Project/Models/Buildings/Human/FlightFacility.fbx","FlightFacility.fbx","11.44","fcb8c49b0b0d2134998ee290061af352","False","2"
"FBX","Assets/_Project/Models/Buildings/Transcendence/FeralSanctuary.fbx","FeralSanctuary.fbx","11.38","58ad5d6c0f795d245a23d3f8753f6227","False","2"
"FBX","Assets/_Project/Models/Buildings/Transcendence/FloralNursery.fbx","FloralNursery.fbx","11.36","226e7c217c6104b46be0f1d35414e918","False","2"
"FBX","Assets/_Project/Models/Buildings/Human/WarAcademy.fbx","WarAcademy.fbx","11.28","331609f15e3781b41b27a059ad5fc802","False","2"
"FBX","Assets/_Project/Models/Units/Human/Tank/Tank.fbx","Tank.fbx","11.27","f29ccb80387fe9049a1d3b80ab6b3998","False","2"
"FBX","Assets/_Project/Models/Buildings/Spirit/OceanicHeart.fbx","OceanicHeart.fbx","11.25","b523915f76f30ef4fb7bbd3d2d4f5b06","False","2"
"FBX","Assets/_Project/Models/Units/Human/Cannon/Cannon.fbx","Cannon.fbx","11.22","049466217747d6a4f87cce9b5ad45efd","False","2"
"FBX","Assets/_Project/Models/Buildings/Spirit/MagicSpirit.fbx","MagicSpirit.fbx","11.21","2b81f2cd645a9204e8efbf3186d9cd21","False","2"
"FBX","Assets/_Project/Models/Buildings/Human/MiningPost.fbx","MiningPost.fbx","11.18","cb9d11168d3ce6f4f89e2e541a32c3cc","False","2"
"FBX","Assets/_Project/Models/Buildings/Spirit/TerraForge.fbx","TerraForge.fbx","11.11","444cf6dc7992ab24698d7f7064387fbd","False","2"
"FBX","Assets/_Project/Models/Units/Transcendence/EagleArcher/EagleBow/EagleBow.fbx","EagleBow.fbx","11.1","cd0791f8f030da542a15e94bb743bddd","False","2"
"FBX","Assets/_Project/Models/Units/Transcendence/LionKnight/LionSword.fbx","LionSword.fbx","11.01","29193755b9974c040b0d9836f8891a6b","False","2"
"FBX","Assets/_Project/Models/Buildings/Transcendence/FeralDen.fbx","FeralDen.fbx","11","6b9dd848efed2f046933ac56e3bdab63","False","2"
"FBX","Assets/_Project/Models/Units/Transcendence/RabbitTrickster/RabbitSword/RabbitSword.fbx","RabbitSword.fbx","10.98","86ab8945cbbeec940a6931ab9f58a045","False","2"
"FBX","Assets/_Project/Models/Buildings/Human/WeaponForge.fbx","WeaponForge.fbx","10.97","4607cfe916b5782438d8a0712e0daca4","False","2"
"FBX","Assets/_Project/Models/Buildings/Transcendence/FeralAltar.fbx","FeralAltar.fbx","10.79","e1fee97eedb77384fbe36e5e242b6f9b","False","2"
"FBX","Assets/_Project/Models/Buildings/Human/Castle.fbx","Castle.fbx","10.71","1678f4a331d309945b267d328232f159","False","2"
"FBX","Assets/_Project/Models/Buildings/Spirit/ManaRift.fbx","ManaRift.fbx","10.69","8324a94a6bdf339439afc641fe93dc48","False","2"
"FBX","Assets/_Project/Models/Buildings/Human/TechnicalLaboratory.fbx","TechnicalLaboratory.fbx","10.67","17c402b3055b5174290a0c8104dffb2c","False","2"
"FBX","Assets/_Project/Models/Buildings/Transcendence/AncientGrove.fbx","AncientGrove.fbx","10.59","c35bd92ad777678489caa62faf5e13c7","False","2"
"FBX","Assets/_Project/Models/Buildings/Spirit/TidalNexus.fbx","TidalNexus.fbx","10.44","dc9eb5ed197b303449310342d940cc21","False","2"
"FBX","Assets/_Project/Models/Buildings/Human/TrainingCamp.fbx","TrainingCamp.fbx","10.4","c537ac700e3628641b0e08e29dcb0747","False","2"
"FBX","Assets/_Project/Models/Buildings/Transcendence/PrimalAltar.fbx","PrimalAltar.fbx","10.26","892ade53e72866d41b2df5e817e8d011","False","2"
"FBX","Assets/_Project/Models/Buildings/Spirit/FireSpire.fbx","FireSpire.fbx","10.23","c41800514e21afa43919e2e6061d79ee","False","2"
"FBX","Assets/_Project/Models/Buildings/Human/CannonTower.fbx","CannonTower.fbx","10.18","45a12e02562e56145ad7279052fc1efd","False","2"
"FBX","Assets/_Project/Models/Buildings/Human/VehicleBay.fbx","VehicleBay.fbx","10.18","83e1243a05eba884582ec19b9a94d406","False","2"
"FBX","Assets/_Project/Models/Buildings/Spirit/GaeaSanctum.fbx","GaeaSanctum.fbx","10.05","cff16f4bd15abd3438f308f91136ffb6","False","2"
"FBX","Assets/_Project/Models/Units/Transcendence/BearGuard/BearShield.fbx","BearShield.fbx","10.04","e303a3eb54ae315469ba566b723448bf","False","2"
"FBX","Assets/_Project/Models/Buildings/Human/Armory.fbx","Armory.fbx","10.03","4a70b3d7c49a1cc4992a3235ae0f4ea9","False","2"
"FBX","Assets/_Project/Models/Buildings/Human/Garage.fbx","Garage.fbx","9.84","0c9cd3be171380745999edc15ab4ff9b","False","2"
"FBX","Assets/_Project/Models/Units/Transcendence/EagleArcher/EagleArrow/EagleArrow.fbx","EagleArrow.fbx","9.81","581e593c29e11204dba5a0dd139f8f7c","False","2"
"FBX","Assets/_Project/Models/Buildings/Spirit/RuneSpire.fbx","RuneSpire.fbx","9.79","14303c25d0aaf934088a1f0117098574","False","2"
"FBX","Assets/_Project/Models/Buildings/Human/Gunsmith.fbx","Gunsmith.fbx","9.76","42689dfa008b5a6439c63f78f1090c8b","False","2"
"FBX","Assets/_Project/Models/Buildings/Spirit/StoneMound.fbx","StoneMound.fbx","9.64","6f7c19c5377da4b4e9f72411d36711f7","False","2"
"FBX","Assets/_Project/Models/Units/Human/HumanAxe/HumanAxe.fbx","HumanAxe.fbx","9.6","0b8c905c931c02c479fa88fdb196fcf0","False","2"
"FBX","Assets/_Project/Models/Buildings/Transcendence/SporePatch.fbx","SporePatch.fbx","9.49","b6710eca8e59e3d489ac1f97b7549d32","False","2"
"FBX","Assets/_Project/Models/Buildings/Spirit/AstronomicalSpirit.fbx","AstronomicalSpirit.fbx","8.93","be79030097d10cb47ad6f4f2f3918249","False","2"
"FBX","Assets/_Project/Models/Buildings/Spirit/AquaSpring.fbx","AquaSpring.fbx","8.23","e8414bfd060d2d64c94308ff6c52ffd0","False","2"
"FBX","Assets/_Project/Models/Units/Human/HumanBlade/HumanBlade.fbx","HumanBlade.fbx","7.54","5344ba478e9bc784483c96eb59125c67","False","2"
"FBX","Assets/_Project/Models/Units/Human/Assault/Rifle.fbx","Rifle.fbx","4.16","3e664ef0a307f694abd94f9dbf4365ac","False","2"
"FBX","Assets/_Project/Models/Units/Human/Sniper/Sniper Rifle.fbx","Sniper Rifle.fbx","3.98","92e95f51301de8d4ba2fb7ec51bc6387","False","2"
"FBX","Assets/_Project/Models/Units/Human/HumanSpear/HumanSpear.fbx","HumanSpear.fbx","3.23","37e84b02c562240408856b6226fd697e","False","2"
"FBX","Assets/_Project/Models/Misc/RallyPointMarker.fbx","RallyPointMarker.fbx","2.76","4541afaf2c576a04e8dda5d380c9643e","False","2"
"FBX","Assets/_Project/Models/Units/Transcendence/FoxMagician/FoxStaff.fbx","FoxStaff.fbx","9.9","e79aa9454100daf448ae87ae3c57cb7a","False","3"
